gen,evals,avg,std,min,max
0,20,[0.57248737 3.3        2.75       1.9        2.        ],[0.12221242 1.14455231 1.3369742  1.17898261 1.61245155],[0.35355339 2.         1.         0.         0.        ],[0.85355339 5.         5.         5.         6.        ]
1,20,[0.61390873 3.2        2.55       1.8        2.        ],[0.12133182 1.2489996  1.49916644 1.4        1.67332005],[0.35355339 2.         1.         0.         0.        ],[0.85355339 5.         5.         5.         6.        ]
2,20,[0.63953233 2.9        2.25       1.5        2.1       ],[0.1177019  1.22065556 1.57718103 1.53297097 1.89472953],[0.5 2.  1.  0.  0. ],[0.8660254 5.        5.        5.        6.       ]
3,20,[0.62399932 2.55       1.9        1.2        2.        ],[0.19524777 1.1169154  1.37477271 1.6        2.28035085],[0. 2. 1. 0. 0.],[0.8660254 5.        5.        5.        6.       ]
4,20,[0.67183901 2.6        1.95       1.25       2.2       ],[0.16319945 1.11355287 1.39552857 1.78535711 2.8213472 ],[0.35355339 2.         1.         0.         0.        ],[ 0.99968707  5.          5.          5.         10.        ]
5,20,[0.67916134 2.6        2.         1.2        1.95      ],[0.15162977 1.11355287 1.37840488 1.72046505 2.76541136],[0.5 2.  1.  0.  0. ],[ 0.99968707  5.          5.          5.         10.        ]
6,19,[0.70719435 2.7        2.1        1.45       2.25      ],[0.14337202 1.18743421 1.47986486 1.88348082 2.96437177],[0.5 2.  1.  0.  0. ],[ 0.99968707  5.          5.          5.         10.        ]
7,20,[0.67916134 2.35       1.7        0.85       1.35      ],[0.15854416 0.90967027 1.1        1.45859521 2.55489726],[0.5 2.  1.  0.  0. ],[ 1.  5.  5.  5. 10.]
8,20,[0.63890873 2.         1.15       0.2        0.35      ],[0.12959798 0.         0.35707142 0.50990195 0.4769696 ],[0.5 2.  1.  0.  0. ],[1. 2. 2. 2. 1.]
9,19,[0.67426407 2.         1.2        0.3        0.3       ],[0.14271638 0.         0.4        0.64031242 0.45825757],[0.5 2.  1.  0.  0. ],[1. 2. 2. 2. 1.]
